Id,SalePrice
1461,124627.4870210653
1462,161048.77585979324
1463,175819.56141452253
1464,188549.11433788534
1465,198597.39949409734
1466,177057.22108165632
1467,171996.06997331104
1468,174234.95397113916
1469,185801.94258517906
1470,117093.97192211357
1471,199450.9978754552
1472,98950.34382592233
1473,102815.74915783772
1474,165463.98042551547
1475,117328.94891360475
1476,358104.9202272727
1477,254671.83557092873
1478,299940.9142619047
1479,288768.10182010586
1480,471852.0631666667
1481,300497.8367973765
1482,207758.26321745027
1483,183400.2189154338
1484,164702.43193348474
1485,174255.7692568507
1486,198119.67359397392
1487,294284.4696850127
1488,204149.63421939465
1489,210965.9989337445
1490,214891.57831245897
1491,194488.37453931372
1492,104405.09498160328
1493,185780.28803854607
1494,329694.4963492064
1495,299617.98733207653
1496,225460.67571045694
1497,192245.80958890036
1498,158410.3768922348
1499,159463.3685960187
1500,162713.147748775
1501,173944.21204539796
1502,154585.24635196675
1503,244430.76328104577
1504,224185.03588480738
1505,218035.65142942156
1506,181440.06781427306
1507,265326.0406554966
1508,200285.06652099325
1509,153455.0745385657
1510,147563.87914756252
1511,150125.13652938107
1512,193288.5848808714
1513,139911.8213088022
1514,163830.12065158522
1515,170506.07538986055
1516,165869.1654837502
1517,157928.15014019885
1518,139137.40696075297
1519,218138.539463678
1520,140018.07742835057
1521,140936.06189526344
1522,161559.05211028003
1523,109214.29819701218
1524,125716.4389302213
1525,126919.54228925517
1526,131006.6987494019
1527,105801.46775923358
1528,130390.61601670308
1529,136978.35565707192
1530,179192.77160524263
1531,132791.61680841222
1532,114986.5761762682
1533,169542.55738397624
1534,113701.1660674442
1535,161267.3310043987
1536,114752.59444308632
1537,91258.62566317058
1538,154524.97681161898
1539,209527.80363242206
1540,113198.69034453962
1541,146491.63848608788
1542,134296.48835617493
1543,209039.69648300798
1544,98390.34749061534
1545,111221.72284792477
1546,127140.37620567178
1547,134429.86531147524
1548,136837.7511163057
1549,112514.65927406667
1550,138297.6306665844
1551,129051.30378728658
1552,139269.8907743527
1553,155621.6281090805
1554,117800.19002963616
1555,170781.63387598284
1556,88794.9821571074
1557,131508.07674688724
1558,101575.88542576302
1559,112348.71340259012
1560,152903.6322233726
1561,152755.4219133907
1562,130768.6564708126
1563,120961.76534994628
1564,161931.47508742535
1565,151483.56361053928
1566,207882.69798621972
1567,79972.79306066703
1568,235358.45315113795
1569,159311.6584501137
1570,134851.0243172367
1571,133122.9229266482
1572,145416.15513554928
1573,226906.43446214814
1574,122472.94190082392
1575,208304.0196460394
1576,279052.6442360482
1577,199260.5474717374
1578,150166.19187106704
1579,141551.6912267326
1580,181536.88952468854
1581,152343.25694851612
1582,127972.78792307446
1583,330617.484557336
1584,233365.10228131374
1585,142638.5101143968
1586,83750.66802338394
1587,102730.54684131658
1588,149707.49642895916
1589,101191.48971975096
1590,129174.64686118058
1591,98841.75001627574
1592,126833.26316796131
1593,121058.40385755991
1594,151955.95719510393
1595,132937.5118102571
1596,200200.5721086075
1597,193837.3549737719
1598,189463.8884594495
1599,146544.40135298166
1600,179770.61791472614
1601,80788.33344655199
1602,108754.7000010182
1603,104951.50789614709
1604,264285.8125752882
1605,254341.11202519748
1606,173451.49601785402
1607,176718.49315703253
1608,224957.51330766318
1609,196697.75961979956
1610,165211.82480467984
1611,144436.54415975674
1612,189632.73573909965
1613,176691.11553026
1614,129766.035221119
1615,94914.27616385781
1616,84371.88560958365
1617,100929.92137186852
1618,123948.10905614277
1619,141513.37478447278
1620,185181.541943222
1621,139599.57639310497
1622,144687.8942802361
1623,289020.81266143074
1624,225511.25175775436
1625,124822.67746446047
1626,163692.35341718936
1627,179457.8929044425
1628,287393.4106918351
1629,175996.78662918773
1630,333741.59759740264
1631,185657.99917863082
1632,244186.1776554388
1633,169102.95471077663
1634,182473.45865772452
1635,178729.58829394093
1636,167650.67068893058
1637,197341.33103485685
1638,213279.82884602566
1639,170849.3740726182
1640,267225.6066242822
1641,164996.2309432187
1642,219319.41307497135
1643,232638.5272908207
1644,222695.80860225414
1645,180581.90395093325
1646,156636.88868840202
1647,157013.8402564265
1648,138106.82281034943
1649,141096.38964567348
1650,127138.01714211125
1651,122768.87933504117
1652,104607.5126453259
1653,110011.98215382759
1654,154471.28776105723
1655,144951.57492139196
1656,150983.81320155688
1657,156328.20068962863
1658,151310.63532547245
1659,124921.39751672454
1660,143199.44522910312
1661,414186.4261507937
1662,376043.7423809523
1663,358583.21439285716
1664,459640.6233333333
1665,320339.5667967033
1666,313345.2526547619
1667,350892.5352222223
1668,333189.6527371795
